"","ID","test","order","subjective","objective","fluency","error_rate"
"1","CT","text_reading",1,"ON","ON",181,6.21761658031088
"2","CT","text_reading",1,"ON","ON",164,8.88888888888889
"3","CT","text_reading",1,"ON","ON",169,6.62983425414365
"4","CT","text_reading",2,"OFF","ON",140,2.77777777777778
"5","CT","text_reading",2,"OFF","ON",148,4.51612903225806
"6","CT","text_reading",2,"OFF","ON",147,3.92156862745098
"7","CT","text_reading",3,"OFF","OFF",129,12.2448979591837
"8","CT","text_reading",3,"OFF","OFF",151,6.2111801242236
"9","CT","text_reading",3,"OFF","OFF",144,8.86075949367089
"10","CT","text_reading",4,"ON","OFF",128,7.9136690647482
"11","CT","text_reading",4,"ON","OFF",194,4.90196078431373
"12","CT","text_reading",4,"ON","OFF",134,8.84353741496599
"13","CT","text_reading",5,"OFF","ON",168,4.54545454545455
"14","CT","text_reading",5,"OFF","ON",135,6.89655172413793
"15","CT","text_reading",5,"OFF","ON",165,5.17241379310345
"16","CT","text_reading",6,"ON","ON",186,6.53266331658291
"17","CT","text_reading",6,"ON","ON",130,9.09090909090909
"18","CT","text_reading",6,"ON","ON",131,6.42857142857143
"19","CT","text_reading",7,"ON","OFF",180,5.75916230366492
"20","CT","text_reading",7,"ON","OFF",151,6.79012345679012
"21","CT","text_reading",7,"ON","OFF",127,12.4137931034483
"22","CT","text_reading",8,"OFF","OFF",149,5.09554140127389
"23","CT","text_reading",8,"OFF","OFF",133,11.3333333333333
"24","CT","text_reading",8,"OFF","OFF",148,13.4502923976608
"25","FAP","text_reading",1,"OFF","OFF",162,3.57142857142857
"26","FAP","text_reading",1,"OFF","OFF",168,4
"27","FAP","text_reading",1,"OFF","OFF",164,3.52941176470588
"28","FAP","text_reading",2,"ON","OFF",179,2.18579234972678
"29","FAP","text_reading",2,"ON","OFF",155,4.9079754601227
"30","FAP","text_reading",2,"ON","OFF",140,3.44827586206897
"31","FAP","text_reading",3,"ON","ON",163,2.39520958083832
"32","FAP","text_reading",3,"ON","ON",144,3.35570469798658
"33","FAP","text_reading",3,"ON","ON",136,2.85714285714286
"34","FAP","text_reading",4,"OFF","ON",169,1.74418604651163
"35","FAP","text_reading",4,"OFF","ON",136,5.55555555555556
"36","FAP","text_reading",4,"OFF","ON",132,2.94117647058824
"37","FAP","text_reading",5,"ON","OFF",146,3.3112582781457
"38","FAP","text_reading",5,"ON","OFF",176,2.76243093922652
"39","FAP","text_reading",5,"ON","OFF",148,6.32911392405063
"40","FAP","text_reading",6,"OFF","OFF",145,5.84415584415584
"41","FAP","text_reading",6,"OFF","OFF",157,3.68098159509202
"42","FAP","text_reading",6,"OFF","OFF",131,4.37956204379562
"43","FAP","text_reading",7,"OFF","ON",166,4.59770114942529
"44","FAP","text_reading",7,"OFF","ON",137,3.52112676056338
"45","FAP","text_reading",7,"OFF","ON",146,3.3112582781457
"46","FAP","text_reading",8,"ON","ON",182,1.62162162162162
"47","FAP","text_reading",8,"ON","ON",157,7.10059171597633
"48","FAP","text_reading",8,"ON","ON",159,4.21686746987952
